场馆,城市,容量,上座纪录[注 1],建成年份,费用,主队,承办的大型赛事
呼和浩特体育场,呼和浩特市,"51,632[98]",,2007年[98],6亿[98],,无
呼和浩特体育场,呼和浩特市,"51,632[98]",,2007年[98],6亿[98],,无
呼和浩特体育场,呼和浩特市,"51,632[98]",,2007年[98],6亿[98],,无
呼和浩特体育场,呼和浩特市,"51,632[98]",（2015年8月29日）[99],2007年[98],6亿[98],,无
凤凰山体育公园专业足球场[注 15],成都市,"50,695[101]",,2022年[102],40.5亿元[注 7][101],成都蓉城足球俱乐部,[103]
江西奥体中心体育场,南昌市,"50,000[104]",23108,2011年[104],11.5亿[106],江西联盛足球俱乐部,2011年全国城市运动会
江西奥体中心体育场,南昌市,"50,000[104]",,2011年[104],11.5亿[106],（2012年-2015年，2017年）,2011年全国城市运动会
江西奥体中心体育场,南昌市,"50,000[104]",,2011年[104],11.5亿[106],,2011年全国城市运动会
江西奥体中心体育场,南昌市,"50,000[104]",,2011年[104],11.5亿[106],,2011年全国城市运动会
江西奥体中心体育场,南昌市,"50,000[104]",（2015年5月13日）[105],2011年[104],11.5亿[106],,2011年全国城市运动会
温州奥体中心体育场,温州市,"50,000[107]",,2021年[107],10.03亿元[107],,2022年亚洲运动会[107]
张家口奥林匹克体育中心(建设中),张家口市,"50,000[108]",,2022年[109],20亿元[注 7][108],,2022年冬季奥林匹克运动会[109]
河南省体育场馆中心,郑州市,"48,000[110]",不详,2002年[111],3.5亿元[110],河南建业足球俱乐部,2002年河南省第九届运动会
河南省体育场馆中心,郑州市,"48,000[110]",不详,2002年[111],3.5亿元[110],（2004年）[112],2002年河南省第九届运动会
哈尔滨会展中心体育场,哈尔滨市,"48,000[113]",40678,2005年[115],18亿元[注 7][116],哈尔滨毅腾足球俱乐部,2009年冬季世界大学生运动会
哈尔滨会展中心体育场,哈尔滨市,"48,000[113]",（2014年7月30日）[114],2005年[115],18亿元[注 7][116],（2011年-2015年）,2009年冬季世界大学生运动会
哈尔滨会展中心体育场,哈尔滨市,"48,000[113]",,2005年[115],18亿元[注 7][116],黑龙江冰城足球俱乐部,2009年冬季世界大学生运动会
哈尔滨会展中心体育场,哈尔滨市,"48,000[113]",,2005年[115],18亿元[注 7][116],（2016年至今）,2009年冬季世界大学生运动会
深圳体育场,深圳市,45000,,1993年,,,
泰达足球场,天津市,45000,,2004年,,,
青岛国信体育场,青岛市,"45,000[注 16]",50000,1999年[119],2.56亿[119],青岛中能足球俱乐部,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],（2000年-2006年）,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],青岛黄海足球俱乐部,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],（2014年-2019年）,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",,1999年[119],2.56亿[119],,无
青岛国信体育场,青岛市,"45,000[注 16]",（2002年11月16日）[118],1999年[119],2.56亿[119],,无
芜湖奥体中心体育场,芜湖市,"45,000[120]",不详,2002年[120],6.7亿元[注 7][120],无[注 17],2002年安徽省运动会
潍坊市奥体中心-体育场(西门),潍坊市,"45,000[121]",28755,2009年[121],6.6亿元[123],无,2009年全国运动会
潍坊市奥体中心-体育场(西门),潍坊市,"45,000[121]",,2009年[121],6.6亿元[123],无,2009年全国运动会
